candidate_start,candidate_end,selected,metric,analogue_windows,mean,minimum,maximum
2027-04-06,2027-04-08,True,revenue,4,281.17734375,266.94097222222223,295.87875
2027-04-06,2027-04-08,True,expense,4,90.16349826388888,80.58878472222221,99.69819444444444
2027-04-06,2027-04-08,True,net_per_observation,4,191.0138454861111,177.65972222222223,203.94295138888887
2027-04-07,2027-04-09,False,revenue,4,281.9613975694444,269.27402777777775,287.82965277777777
2027-04-07,2027-04-09,False,expense,4,90.0762673611111,76.79979166666665,99.39142361111111
2027-04-07,2027-04-09,False,net_per_observation,4,191.88513020833332,169.88260416666668,211.0298611111111
2027-04-08,2027-04-10,False,revenue,4,292.7061545138889,285.15975694444444,299.57770833333336
2027-04-08,2027-04-10,False,expense,4,88.60554687499999,82.94347222222223,93.94100694444442
2027-04-08,2027-04-10,False,net_per_observation,4,204.1006076388889,195.7384375,211.46131944444443
2027-04-09,2027-04-11,False,revenue,4,309.76572048611115,299.8915277777778,330.11177083333337
2027-04-09,2027-04-11,False,expense,4,85.56787326388888,83.67777777777776,88.72920138888887
2027-04-09,2027-04-11,False,net_per_observation,4,224.1978472222222,215.7401736111111,241.3825694444444
2027-04-10,2027-04-12,False,revenue,4,309.23227430555556,300.8361458333333,317.0023263888889
2027-04-10,2027-04-12,False,expense,4,88.20557291666667,84.46347222222224,92.65201388888889
2027-04-10,2027-04-12,False,net_per_observation,4,221.02670138888885,208.18413194444443,228.87315972222217
