month,observations,observed_days,revenue,expense,net_per_observation,calendar_days,complete_month
2025-01,2976,31,223.32008736559138,95.9551814516129,127.3649059139785,31,True
2025-02,2688,28,240.71040550595237,94.79045014880953,145.91995535714287,28,True
2025-03,2976,31,271.28860215053766,94.27828965053763,177.01031249999997,31,True
2025-04,2880,30,291.9718159722222,88.29902083333333,203.6727951388889,30,True
2025-05,2976,31,313.53512096774193,93.12672715053763,220.4083938172043,31,True
2025-06,2880,30,328.7543993055556,95.76585416666666,232.9885451388889,30,True
2025-07,2976,31,311.4582291666666,95.8282694892473,215.62995967741935,31,True
2025-08,2976,31,303.26764112903226,95.54102486559141,207.72661626344086,31,True
2025-09,2880,30,270.94180208333336,92.94697916666667,177.99482291666666,30,True
2025-10,2976,31,244.1291498655914,94.71302755376342,149.41612231182796,31,True
2025-11,2880,30,228.0294861111111,94.96063194444444,133.06885416666665,30,True
2025-12,2976,31,220.19987903225805,92.88764448924731,127.31223454301076,31,True
2026-01,960,10,227.98321875000002,94.65570833333332,133.32751041666668,31,False
